date,weekday,holiday_name,holiday_type
2023-03-26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2023-04-02,Sunday,Palm Sunday,Observance
2023-04-06,Thursday,Maundy Thursday,Observance
2023-04-06,Thursday,First day of Passover,Observance
2023-04-07,Friday,Good Friday,National holiday
2023-04-08,Saturday,Holy Saturday,Observance
2023-04-09,Sunday,Easter Sunday,Observance
2023-04-10,Monday,Easter Monday,Christian
2023-04-10,Monday,Easter Monday,Local observance
2023-04-13,Thursday,Last day of Passover,Observance
2023-04-14,Friday,Orthodox Good Friday,Observance
2023-04-15,Saturday,Orthodox Holy Saturday,Observance
2023-04-16,Sunday,Orthodox Easter,Observance
2023-04-17,Monday,Laylatul Qadr (Night of Power),Observance
2023-04-17,Monday,Orthodox Easter Monday,Observance
2023-04-18,Tuesday,Yom HaShoah,Observance
2023-04-22,Saturday,Eid ul Fitr,Observance
2023-04-22,Saturday,Stephen Lawrence Day,Observance
2023-04-23,Sunday,St. George's Day,Observance
2023-04-23,Sunday,St. George's Day,Observance
2023-04-23,Sunday,Shakespeare Day,Observance
2023-04-26,Wednesday,Yom HaAtzmaut,Observance
2023-05-01,Monday,Early May Bank Holiday,National holiday
2023-05-09,Tuesday,Lag B'Omer,Observance
2023-05-18,Thursday,Ascension Day,Observance
2023-05-26,Friday,Shavuot,Observance
2023-05-28,Sunday,Pentecost,Observance
2023-05-29,Monday,Whit Monday,Observance
2023-05-29,Monday,Spring Bank Holiday,National holiday
2023-06-04,Sunday,Trinity Sunday,Observance
2023-06-08,Thursday,Corpus Christi,Observance
2023-06-12,Monday,King's Birthday,Observance
2023-06-18,Sunday,Father's Day,Observance
2023-06-21,Wednesday,June Solstice,Season
2023-06-22,Thursday,Windrush Day,Observance
2023-06-29,Thursday,Eid al-Adha,Observance
2023-07-12,Wednesday,Battle of the Boyne,Local holiday
2023-07-19,Wednesday,Muharram/Islamic New Year,Observance
2023-07-27,Thursday,Tisha B'Av,Observance
2023-07-28,Friday,Ashura,Observance
2023-08-07,Monday,Summer Bank Holiday,Common local holiday
2023-08-15,Tuesday,Assumption of Mary,Observance
2023-08-28,Monday,Summer Bank Holiday,Common local holiday
2023-09-06,Wednesday,Janmashtami (Smarta),Observance
2023-09-07,Thursday,Janmashtami,Observance
2023-09-16,Saturday,Rosh Hashana,Observance
2023-09-23,Saturday,September Equinox,Season
2023-09-25,Monday,Yom Kippur,Observance
2023-09-27,Wednesday,Milad un Nabi (Mawlid),Observance
2023-09-30,Saturday,First day of Sukkot,Observance
2023-10-04,Wednesday,Feast of St Francis of Assisi,Observance
2023-10-06,Friday,Hoshana Rabbah,Observance
2023-10-07,Saturday,Shemini Atzeret,Observance
2023-10-08,Sunday,Simchat Torah,Observance
2023-10-29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2023-10-31,Tuesday,Halloween,Observance
2023-11-01,Wednesday,All Saints' Day,Observance
2023-11-02,Thursday,All Souls' Day,Observance
2023-11-05,Sunday,Guy Fawkes Day,Observance
2023-11-12,Sunday,Diwali/Deepavali,Observance
2023-11-12,Sunday,Remembrance Sunday,Observance
2023-11-30,Thursday,St Andrew's Day,Local holiday
2023-12-03,Sunday,First Sunday of Advent,Observance
2023-12-08,Friday,Feast of the Immaculate Conception,Observance
2023-12-08,Friday,First Day of Hanukkah,Observance
2023-12-15,Friday,Last day of Hanukkah,Observance
2023-12-22,Friday,December Solstice,Season
2023-12-24,Sunday,Christmas Eve,Observance
2023-12-25,Monday,Christmas Day,National holiday
2023-12-26,Tuesday,Boxing Day,National holiday
2023-12-31,Sunday,New Year's Eve,Observance
