name,event_count
Western Cape,1620
Gauteng,1165
KwaZulu-Natal,304
Eastern Cape,185
Mpumalanga,63
North West,60
Limpopo,45
Free State,42
Northern Cape,29
Wes-Kaap,3
West-Kaap,1
