code,locality,province,locality_url,event_count
uganda,Uganda,Events,/events/uganda,0
south-africa,South Africa,Events,/events/south-africa,0
soroti,Soroti,Eastern Region,/events/uganda/eastern-region/soroti,0
canada,Canada,Events,/events/canada,0
rivonia,Rivonia ,Gauteng,/events/south-africa/gauteng/rivonia,0
british-columbia,British Columbia,Canada,/events/canada/british-columbia,0
northern-region,Northern Region,Uganda,/events/uganda/northern-region,0
northern-cape,Northern Cape,South Africa,/events/south-africa/northern-cape,0
north-west-district,North-West District,Botswana,/events/botswana/north-west-district,0
north-west,North West,South Africa,/events/south-africa/north-west,0
njeru,Njeru,Mkoa Wa Kati,/events/uganda/mkoa-wa-kati/njeru,0
nelson-mandela-bay,Nelson Mandela Bay ,Eastern Cape,/events/south-africa/eastern-cape/nelson-mandela-bay,0
nairobi-county,Nairobi County,Kenya,/events/kenya/nairobi-county,0
nairobi,Nairobi,Nairobi County,/events/kenya/nairobi-county/nairobi,0
mpumalanga,Mpumalanga,South Africa,/events/south-africa/mpumalanga,0
mkoa-wa-kati,Mkoa wa Kati,Uganda,/events/uganda/mkoa-wa-kati,0
botswana,Botswana,Events,/events/botswana,0
merritt,Merritt,British Columbia,/events/canada/british-columbia/merritt,0
mbombela,Mbombela ,Mpumalanga,/events/south-africa/mpumalanga/mbombela,0
mbarara,Mbarara,Western Region,/events/uganda/western-region/mbarara,0
mbale,Mbale,Eastern Region,/events/uganda/eastern-region/mbale,0
maun,Maun,North West District,/events/botswana/north-west-district/maun,0
limpopo,Limpopo,South Africa,/events/south-africa/limpopo,0
kyambogo,Kyambogo,Mkoa Wa Kati,/events/uganda/mkoa-wa-kati/kyambogo,0
kenya,Kenya,Events,/events/kenya,0
kampala,Kampala,Central Region,/events/uganda/central-region/kampala,0
jinja,Jinja,Eastern Region,/events/uganda/eastern-region/jinja,0
hilton,Hilton ,Kwazulu Natal,/events/south-africa/kwazulu-natal/hilton,0
johannesburg, Johannesburg,Gauteng,/events/south-africa/gauteng/johannesburg,0
