code,locality,province,locality_url,event_count
wellington,Wellington,Western Cape,/events/south-africa/western-cape/wellington,4
welkom,Welkom,Free State,/events/south-africa/free-state/welkom,4
tzaneen,Tzaneen,Limpopo,/events/south-africa/limpopo/tzaneen,4
somerset-west,Somerset West,Western Cape,/events/south-africa/western-cape/somerset-west,4
secunda,Secunda,Mpumalanga,/events/south-africa/mpumalanga/secunda,4
sandbaai,Sandbaai,Western Cape,/events/south-africa/western-cape/sandbaai,4
roodeplaat,Roodeplaat,Gauteng,/events/south-africa/gauteng/roodeplaat,4
olifantsfontein,Olifantsfontein,Gauteng,/events/south-africa/gauteng/olifantsfontein,4
margate,Margate,Kwazulu Natal,/events/south-africa/kwazulu-natal/margate,4
langebaan,Langebaan,Western Cape,/events/south-africa/western-cape/langebaan,4
jeffreys-bay,Jeffreys Bay,Eastern Cape,/events/south-africa/eastern-cape/jeffreys-bay,4
hoedspruit,Hoedspruit,Limpopo,/events/south-africa/limpopo/hoedspruit,4
hammanskraal,Hammanskraal,Gauteng,/events/south-africa/gauteng/hammanskraal,4
dolphin-coast,Dolphin Coast,Kwazulu Natal,/events/south-africa/kwazulu-natal/dolphin-coast,3
ceres,Ceres,Western Cape,/events/south-africa/western-cape/ceres,3
vosloorus,Vosloorus,Gauteng,/events/south-africa/gauteng/vosloorus,3
tierpoort,Tierpoort,Gauteng,/events/south-africa/gauteng/tierpoort,3
stanford,Stanford,Western Cape,/events/south-africa/western-cape/stanford,3
standerton,Standerton,Mpumalanga,/events/south-africa/mpumalanga/standerton,3
shere,Shere,Gauteng,/events/south-africa/gauteng/shere,3
sebokeng,Sebokeng,Gauteng,/events/south-africa/gauteng/sebokeng,3
bronkhorstspruit,Bronkhorstspruit,Gauteng,/events/south-africa/gauteng/bronkhorstspruit,3
parys,Parys,North West,/events/south-africa/north-west/parys,3
malmesbury,Malmesbury,Western Cape,/events/south-africa/western-cape/malmesbury,3
makhanda,Makhanda,Eastern Cape,/events/south-africa/eastern-cape/makhanda,3
mabopane,Mabopane,Gauteng,/events/south-africa/gauteng/mabopane,3
lephalale,Lephalale,Limpopo,/events/south-africa/limpopo/lephalale,3
kuruman,Kuruman,Northern Cape,/events/south-africa/northern-cape/kuruman,3
kleinmond,Kleinmond,Western Cape,/events/south-africa/western-cape/kleinmond,3
kenton-on-sea,Kenton-on-Sea,Eastern Cape,/events/south-africa/eastern-cape/kenton-on-sea,3
bela-bela,Bela-Bela,Limpopo,/events/south-africa/limpopo/bela-bela,3
hekpoort,Hekpoort,Gauteng,/events/south-africa/gauteng/hekpoort,3
bedfordview,Bedfordview,Gauteng,/events/south-africa/gauteng/bedfordview,3
great-brak-river,Great Brak River,Western Cape,/events/south-africa/western-cape/great-brak-river,2
gcuwa,Gcuwa,Eastern Cape,/events/south-africa/eastern-cape/gcuwa,2
ga-rankuwa,Ga-Rankuwa,Gauteng,/events/south-africa/gauteng/ga-rankuwa,2
eston,Eston,Kwazulu Natal,/events/south-africa/kwazulu-natal/eston,2
empangeni,Empangeni,Kwazulu Natal,/events/south-africa/kwazulu-natal/empangeni,2
emanzana,eManzana,Mpumalanga,/events/south-africa/mpumalanga/emanzana,2
diepkloof,Diepkloof,Gauteng,/events/south-africa/gauteng/diepkloof,2
cullinan,Cullinan,Gauteng,/events/south-africa/gauteng/cullinan,2
clarens,Clarens,Free State,/events/south-africa/free-state/clarens,2
clanwilliam,Clanwilliam,Western Cape,/events/south-africa/western-cape/clanwilliam,2
cathkin-park,Cathkin Park,Kwazulu Natal,/events/south-africa/kwazulu-natal/cathkin-park,2
carletonville,Carletonville,Gauteng,/events/south-africa/gauteng/carletonville,2
vlottenburg,Vlottenburg,Western Cape,/events/south-africa/western-cape/vlottenburg,2
vanrhynsdorp,Vanrhynsdorp,Western Cape,/events/south-africa/western-cape/vanrhynsdorp,2
thabazimbi,Thabazimbi,Limpopo,/events/south-africa/limpopo/thabazimbi,2
table-mountain,Table Mountain,Kwazulu Natal,/events/south-africa/kwazulu-natal/table-mountain,2
sun-city,Sun City,North West,/events/south-africa/north-west/sun-city,2
st-francis-bay,St Francis Bay,Eastern Cape,/events/south-africa/eastern-cape/st-francis-bay,2
cape-saint-francis,Cape Saint Francis,Eastern Cape,/events/south-africa/eastern-cape/cape-saint-francis,2
soshanguve,Soshanguve,Gauteng,/events/south-africa/gauteng/soshanguve,2
senderwood,Senderwood,Gauteng,/events/south-africa/gauteng/senderwood,2
camperdown,Camperdown,Kwazulu Natal,/events/south-africa/kwazulu-natal/camperdown,2
robertson,Robertson,Western Cape,/events/south-africa/western-cape/robertson,2
riebeek-kasteel,Riebeek-Kasteel,Western Cape,/events/south-africa/western-cape/riebeek-kasteel,2
port-alfred,Port Alfred,Eastern Cape,/events/south-africa/eastern-cape/port-alfred,2
pniel,Pniel,Western Cape,/events/south-africa/western-cape/pniel,2
phuthaditjhaba,Phuthaditjhaba,Free State,/events/south-africa/free-state/phuthaditjhaba,2
phoenix,Phoenix,Kwazulu Natal,/events/south-africa/kwazulu-natal/phoenix,2
phalaborwa,Phalaborwa,Limpopo,/events/south-africa/limpopo/phalaborwa,2
orania,Orania,Northern Cape,/events/south-africa/northern-cape/orania,2
odendaalsrus,Odendaalsrus,Free State,/events/south-africa/free-state/odendaalsrus,2
nottingham-road,Nottingham Road,Kwazulu Natal,/events/south-africa/kwazulu-natal/nottingham-road,2
mcgregor,McGregor,Western Cape,/events/south-africa/western-cape/mcgregor,2
mashishing,Mashishing,Mpumalanga,/events/south-africa/mpumalanga/mashishing,2
mankweng,Mankweng,Limpopo,/events/south-africa/limpopo/mankweng,2
malamulele,Malamulele,Limpopo,/events/south-africa/limpopo/malamulele,2
magaliesburg,Magaliesburg,Gauteng,/events/south-africa/gauteng/magaliesburg,2
lower,Lower,Kwazulu Natal,/events/south-africa/kwazulu-natal/lower,2
lenasia,Lenasia,Gauteng,/events/south-africa/gauteng/lenasia,2
bettys-bay,Betty's Bay,Western Cape,/events/south-africa/western-cape/bettys-bay,2
kroondal,Kroondal,North West,/events/south-africa/north-west/kroondal,2
bethelsdorp,Bethelsdorp,Eastern Cape,/events/south-africa/eastern-cape/bethelsdorp,2
katlehong,Katlehong,Gauteng,/events/south-africa/gauteng/katlehong,2
ibhayi,Ibhayi,Eastern Cape,/events/south-africa/eastern-cape/ibhayi,2
giants-castle-game-reserve,Giants Castle Game Reserve,Kwazulu Natal,/events/south-africa/kwazulu-natal/giants-castle-game-reserve,1
gauteng,Gauteng,South Africa,/events/south-africa/gauteng,1
barrydale,Barrydale,Western Cape,/events/south-africa/western-cape/barrydale,1
gansbaai,Gansbaai,Western Cape,/events/south-africa/western-cape/gansbaai,1
ga-mashashane,Ga-Mashashane,Limpopo,/events/south-africa/limpopo/ga-mashashane,1
fort-nottingham,Fort Nottingham,Kwazulu Natal,/events/south-africa/kwazulu-natal/fort-nottingham,1
ezakheni-c,Ezakheni C,Kwazulu Natal,/events/south-africa/kwazulu-natal/ezakheni-c,1
ethekwini,Ethekwini,Kwazulu Natal,/events/south-africa/kwazulu-natal/ethekwini,1
ephangweni,Ephangweni,Kwazulu Natal,/events/south-africa/kwazulu-natal/ephangweni,1
entre-nous,Entre Nous,Mpumalanga,/events/south-africa/mpumalanga/entre-nous,1
ennerdale,Ennerdale,Gauteng,/events/south-africa/gauteng/ennerdale,1
emkhuze,eMkhuze,Kwazulu Natal,/events/south-africa/kwazulu-natal/emkhuze,1
balgowan,Balgowan,Kwazulu Natal,/events/south-africa/kwazulu-natal/balgowan,1
elukwatini,Elukwatini,Mpumalanga,/events/south-africa/mpumalanga/elukwatini,1
eikenhof,Eikenhof,Gauteng,/events/south-africa/gauteng/eikenhof,1
durban-natal,Durban Natal,Kwazulu Natal,/events/south-africa/kwazulu-natal/durban-natal,1
ashburton,Ashburton,Kwazulu Natal,/events/south-africa/kwazulu-natal/ashburton,1
dullstroom,Dullstroom,Mpumalanga,/events/south-africa/mpumalanga/dullstroom,1
diepsloot,Diepsloot,Gauteng,/events/south-africa/gauteng/diepsloot,1
deneysville,Deneysville,Free State,/events/south-africa/free-state/deneysville,1
de-rust,De Rust,Western Cape,/events/south-africa/western-cape/de-rust,1
de-doorns,De Doorns,Western Cape,/events/south-africa/western-cape/de-doorns,1
de-aar,De Aar,Northern Cape,/events/south-africa/northern-cape/de-aar,1
dalmada-ah,Dalmada AH,Limpopo,/events/south-africa/limpopo/dalmada-ah,1
clifton-canyon,Clifton Canyon,Kwazulu Natal,/events/south-africa/kwazulu-natal/clifton-canyon,1
citrusdal,Citrusdal,Western Cape,/events/south-africa/western-cape/citrusdal,1
chintsa-east,Chintsa East,Eastern Cape,/events/south-africa/eastern-cape/chintsa-east,1
chartwell,Chartwell,Gauteng,/events/south-africa/gauteng/chartwell,1
amatola-coastal,Amatola Coastal,Eastern Cape,/events/south-africa/eastern-cape/amatola-coastal,1
carnarvon,Carnarvon,Northern Cape,/events/south-africa/northern-cape/carnarvon,1
zakariyya-park,Zakariyya Park,Gauteng,/events/south-africa/gauteng/zakariyya-park,1
yzerfontein,Yzerfontein,Western Cape,/events/south-africa/western-cape/yzerfontein,1
winnie-mandela,Winnie Mandela,Free State,/events/south-africa/free-state/winnie-mandela,1
windmeul,Windmeul,Western Cape,/events/south-africa/western-cape/windmeul,1
west-coast-dc,West Coast DC,Western Cape,/events/south-africa/western-cape/west-coast-dc,1
